대분류명,소분류명,서비스상태,서비스명,결제방법,장소명,서비스대상,longitude,latitude
체육시설,테니스장,예약마감,&lt;&#39;23.5 월&gt;광나루한강공원 테니스장 6번 코트 - 저녁,유료,광나루 한강공원 테니스장, 제한없음,127.12227,37.54996
체육시설,테니스장,안내중,&lt;&#39;23.6월&gt;광나루한강공원 테니스장 6번 코트 - 저녁,유료,광나루 한강공원 테니스장, 제한없음,127.12227,37.54996
체육시설,테니스장,안내중,&lt;&#39;23.6 월&gt;광나루한강공원 테니스장 7번 코트 - 저녁,유료,광나루 한강공원 테니스장, 제한없음,127.12227,37.54996
체육시설,테니스장,안내중,&lt;&#39;23.6 월&gt;광나루한강공원 테니스장 8번 코트 - 저녁,유료,광나루 한강공원 테니스장, 제한없음,127.12227,37.54996
체육시설,테니스장,안내중,&lt;&#39;23.6 월&gt;광나루한강공원 테니스장 8번 코트 - 평일,유료,광나루 한강공원 테니스장, 제한없음,127.12227,37.54996
체육시설,테니스장,안내중,&lt;&#39;23.6 월&gt;광나루한강공원 테니스장 7번 코트 - 평일,유료,광나루 한강공원 테니스장, 제한없음,127.12227,37.54996
체육시설,테니스장,안내중,&lt;&#39;23.6 월&gt;광나루한강공원 테니스장 6번 코트 - 평일,유료,광나루 한강공원 테니스장, 제한없음,127.12227,37.54996
체육시설,테니스장,안내중,&lt;&#39;23. 6월&gt;광나루한강공원 테니스장 5번 코트 - 평일,유료,광나루 한강공원 테니스장, 제한없음,127.12227,37.54996
체육시설,테니스장,안내중,&lt;&#39;23. 6월&gt;광나루한강공원 테니스장 4번 코트 - 평일,유료,광나루 한강공원 테니스장, 제한없음,127.12227,37.54996
체육시설,테니스장,안내중,&lt;&#39;23. 6월&gt;광나루 한강공원 테니스장4 번 코트 - 토/일/공휴일,유료,광나루 한강공원 테니스장, 제한없음,127.12227,37.54996
체육시설,테니스장,안내중,&lt;&#39;23. 6월&gt;이촌 한강공원 테니스장4 번 코트 - 토/일/공휴일,유료,광나루 한강공원 테니스장, 제한없음,127.12227,37.54996
체육시설,테니스장,안내중,&lt;&#39;23. 6월&gt;이촌 한강공원 테니스장5 번 코트 - 토/일/공휴일,유료,광나루 한강공원 테니스장, 제한없음,127.12227,37.54996
체육시설,테니스장,안내중,&lt;&#39;23. 6월&gt;이촌 한강공원 테니스장6 번 코트 - 토/일/공휴일,유료,광나루 한강공원 테니스장, 제한없음,127.12227,37.54996
체육시설,테니스장,안내중,&lt;&#39;23. 6월&gt;이촌 한강공원 테니스장7 번 코트 - 토/일/공휴일,유료,광나루 한강공원 테니스장, 제한없음,127.12227,37.54996
체육시설,테니스장,안내중,&lt;&#39;23. 6월&gt;이촌 한강공원 테니스장8 번 코트 - 토/일/공휴일,유료,광나루 한강공원 테니스장, 제한없음,127.12227,37.54996
체육시설,테니스장,안내중,&lt;&#39;23.6 월&gt;이촌한강공원 테니스장 4번 코트 - 저녁,유료,광나루 한강공원 테니스장, 제한없음,127.12227,37.54996
체육시설,테니스장,안내중,&lt;&#39;23.6 월&gt;이촌한강공원 테니스장 6번 코트 - 저녁,유료,광나루 한강공원 테니스장, 제한없음,127.12227,37.54996
체육시설,테니스장,안내중,&lt;&#39;23.6 월&gt;이촌한강공원 테니스장 7번 코트 - 저녁,유료,광나루 한강공원 테니스장, 제한없음,127.12227,37.54996
체육시설,테니스장,안내중,&lt;&#39;23.6 월&gt;이촌한강공원 테니스장 8번 코트 - 저녁,유료,광나루 한강공원 테니스장, 제한없음,127.12227,37.54996
체육시설,테니스장,안내중,&lt;&#39;23. 6월&gt;광나루 한강공원 테니스장5 번 코트 - 토/일/공휴일,유료,광나루 한강공원 테니스장, 제한없음,127.12227,37.54996
체육시설,테니스장,안내중,&lt;&#39;23. 6월&gt;광나루 한강공원 테니스장6 번 코트 - 토/일/공휴일,유료,광나루 한강공원 테니스장, 제한없음,127.12227,37.54996
체육시설,테니스장,안내중,&lt;&#39;23. 6월&gt;광나루 한강공원 테니스장7번 코트 - 토/일/공휴일,유료,광나루 한강공원 테니스장, 제한없음,127.12227,37.54996
체육시설,테니스장,안내중,&lt;&#39;23. 6월&gt;광나루 한강공원 테니스장8번 코트 - 토/일/공휴일,유료,광나루 한강공원 테니스장, 제한없음,127.12227,37.54996
체육시설,족구장,접수중,2023년 족구장1-강서한강공원,유료,"강서한강공원>족구장(1,2)", 제한없음,126.82144004654432,37.58468979624671
체육시설,족구장,접수중,2023년 족구장2 (방화대교 하부)-강서한강공원,유료,"강서한강공원>족구장(1,2)", 제한없음,126.82144004654432,37.58468979624671
체육시설,테니스장,접수중,서남센터 테니스장1번 경로+지역 전용코트(평일),유료,서남물재생센터, 제한없음,126.82589611618,37.577287681053
체육시설,테니스장,접수중,서남센터 테니스장2번 경로+지역 전용코트(평일),유료,서남물재생센터, 제한없음,126.82589611618,37.577287681053
체육시설,테니스장,접수중,서남센터 테니스장3번 지역주민 전용코트(평일),유료,서남물재생센터, 제한없음,126.82589611618,37.577287681053
체육시설,테니스장,접수중,서남센터 테니스장4번 지역주민 전용코트(평일),유료,서남물재생센터, 제한없음,126.82589611618,37.577287681053
체육시설,테니스장,접수중,서남센터 테니스장5번 코트(평일),유료,서남물재생센터, 제한없음,126.82589611618,37.577287681053
체육시설,테니스장,접수중,서남센터 테니스장6번 코트(평일),유료,서남물재생센터, 제한없음,126.82589611618,37.577287681053
체육시설,테니스장,접수중,서남센터 테니스장7번 코트(평일),유료,서남물재생센터, 제한없음,126.82589611618,37.577287681053
체육시설,테니스장,예약마감,서남센터 테니스장8번 코트(평일),유료,서남물재생센터, 제한없음,126.82589611618,37.577287681053
체육시설,테니스장,접수중,서남센터 테니스장9번 코트(평일),유료,서남물재생센터, 제한없음,126.82589611618,37.577287681053
체육시설,테니스장,예약마감,서남센터 테니스장10번 코트(평일),유료,서남물재생센터, 제한없음,126.82589611618,37.577287681053
체육시설,테니스장,접수중,서남센터 테니스장11번 코트(평일)-수요일만 가능,유료,서남물재생센터, 제한없음,126.82589611618,37.577287681053
